Unnamed: 0,Restaurant address,Challenge name,Location name,latitude,longitude
36,"Address: 524 N 92nd St, Scottsdale, AZ 85256",CAZ Sports Bar’s Great 48oz Burger Challenge,Where: CAZ Sports Bar (Inside Casino Arizona),33.478846000000004,-111.88266599999999
37,"Address: 6060 E Brown Rd, Mesa, AZ 85205",Sonson’s 5lb Savory Pasty Challenge,Where: Sonson's Pasty Company,33.431426,-111.716421
38,"Address: 350 S Mill Ave, Tempe, AZ 85281",Americana Tempe’s “Americanator” Burger Challenge,Where: Americana Tempe,33.42672,-111.93153600000001
39,"Address: 10652 N 32nd St, Phoenix, AZ 85028",Aioli Gourmet Burgers’ Triple Threat Challenge,Where: Aioli Gourmet Burgers ,33.58355,-112.01316000000001
40,"Address: 91 London Bridge Rd, Lake Havasu City, AZ 86403",Fat Sub’s 3 Foot Mega Sub Challenge,Where: Fat Sub,34.47415,-114.34832
41,"Address: 1 Cardinals Dr, Glendale, AZ 85305",Arizona Cardinals’ Gridiron Burger Challenge,Where: Section 102 Gridiron Grill (AZ Cardinals' Stadium),33.527001,-112.260599
42,"Address: 250 S Craycroft Rd, Tucson, AZ 85711",Trident Grill’s “Navy Seal” Burger Challenge (Williams Center),Where: Trident Grill (Willaims Center),32.215267,-110.884033
43,"Address: 614 N Grande Ave, Tucson, AZ 85745",Tania’s Mighty B.Rex Burrito Challenge,"Where: Tania's ""33"" Mexican Food",32.23109,-110.98937
44,"Address: 10392 N Scottsdale Rd, Scottsdale, AZ 85253",Porkopolis’ Brady Bacon Burger Challenge (Scottsdale),Where: Porkopolis BBQ (Scottsdale),33.58079,-111.92698
45,"Address: 1445 S Arizona Ave, Chandler, AZ 85286",Porkopolis’ Brady Bacon Burger Challenge (Chandler),Where: Porkopolis BBQ (Chandler),33.2843,-111.84069
46,"Address: 2960 N Swan Rd, Tucson, AZ 85712",Trident Grill’s “Navy Seal” Burger Challenge (Trident II East),Where: Trident II East,32.26068,-110.89148
47,"Address: 2033 E Speedway Blvd, Tucson, AZ 85719",Trident Grill’s “Navy Seal” Burger Challenge (Trident University),Where: Trident University,32.243578,-110.948923
48,"Address: 5110 N Dysart Rd, Litchfield Park, AZ 85340",Tailgaters & Il Primo’s 30″ Pizza Challenge (Litchfield Park),Where: Tailgaters Sports Grill & Il Primo Pizza (Litchfield Park),33.50928,-112.34222
49,"Address: 15529 W Bell Rd, Surprise, AZ 85374",Tailgaters & Il Primo’s 30″ Pizza Challenge (Surprise),Where: Tailgaters Sports Grill & Il Primo Pizza & Wings (Surprise),33.63859,-112.39511999999999
50,"Address: 10146 W Lake Pleasant Pkwy, Peoria, AZ 85382",Tailgaters & Il Primo’s 30″ Pizza Challenge (Peoria),Where: Tailgaters Sports Grill & Il Primo Pizza & Wings (Peoria),33.67818,-112.27668
51,"Address: 7160 E Pav Way, Prescott Valley, AZ 86314",Tailgaters & Il Primo’s 30″ Pizza Challenge (Prescott Valley),Where: Tailgaters Sports Grill & Il Primo Pizza & Wings,34.600167,-112.327532
52,"Address: 15620 N Tatum Blvd, Ste #100, Phoenix, AZ 85032",Venezia’s 24″ Pizza Party Challenge (North Phoenix),Where: Venezia's Pizzeria (North Phoenix),33.628640000000004,-111.97831000000001
53,"Address: 2034 E Southern Ave, Mesa, AZ 85204",The Broken Yolk’s Iron Man Omelet Challenge (Mesa – Arizona),Where: The Broken Yolk Cafe (Mesa - Arizona),33.397991,-111.786328
54,"Address: 1980 W Germann Rd, Chandler, AZ 85286",Cold Beers Cheeseburger Challenge (Chandler),Where: Cold Beers & Cheeseburgers (Chandler),33.276340999999995,-111.867193
55,"Address: 500 N 4th Ave, Tucson, AZ 85705",Lindy’s OMFG Burger Challenge,Where: Lindy's On 4th,32.249446,-110.965737
56,"Address: 5101 N Scottsdale Rd, Scottsdale, AZ 85250",Papi Chulo’s 6lb Burrito Challenge,Where: Papi Chulo's Cantina,33.51088,-111.9249
57,"Address: 4251 N Winfield Scott Plaza, Scottsdale, AZ 85251",Giligin’s Colon Buster Challenge,Where: Giligin's Bar & Grill,33.49815,-111.92498
58,"Address: 4251 N Winfield Scott Plaza, Scottsdale, AZ 85251",Giligin’s Pizza Roll Challenge,Where: Giligin's Bar & Grill,33.49815,-111.92498
59,"Address: 4251 N Winfield Scott Plaza, Scottsdale, AZ 85251",Giligin’s Corn Dog Challenge,Where: Giligin's Bar & Grill,33.49815,-111.92498
60,"Address: 4251 N Winfield Scott Plaza, Scottsdale, AZ 85251",Giligin’s Old 96’er Burger Challenge,Where: Giligin's Bar & Grill,33.49815,-111.92498
61,"Address: 4222 N Scottsdale Rd, Scottsdale, AZ 85251",Cold Beers Cheeseburger Challenge (Old Town),Where: Cold Beers & Cheeseburgers (Old Town),33.497440000000005,-111.92648
62,"Address: 20831 N Scottsdale Rd, Ste #117, Scottsdale, AZ 85255",Cold Beers Cheeseburger Challenge (N Scottsdale),Where: Cold Beers & Cheeseburgers (N Scottsdale),33.67618,-111.92318999999999
63,"Address: 415 E Highway 70, Safford, AZ 85546",Manor House’s Taco Tuesday “Taco Titan” Record Challenge,Where: Manor House Restaurant & Rock'n Horse Saloon,32.783733000000005,-109.608752
64,"Address: 1781 E State Rt 69, Prescott, AZ 86301",Zeke’s Wagon Wheel Pancakes Challenge,Where: Zeke's Eatin Place,34.583175,-112.43755900000001
65,"Address: 744 W Ray Rd, Ste #101, Gilbert, AZ 85233",Venezia’s 24″ Pizza Party Challenge (Gilbert),Where: Venezia's Pizzeria (Gilbert),33.350782,-111.809417
66,"Address: 27 E Southern Ave, Tempe, AZ 85282",Venezia’s 24″ Pizza Party Challenge (Tempe),Where: Venezia's Pizzeria (Tempe),33.392784000000006,-111.930278
67,"Address: 2721 S Ellsworth Rd, Ste #107, Mesa, AZ 85209",Venezia’s 24″ Pizza Party Challenge (East Mesa),Where: Venezia's Pizzeria (East Mesa),33.36574,-111.63521999999999
68,"Address: 5057 E McKellips Rd, Mesa, AZ 85205
",Venezia’s 24″ Pizza Party Challenge (Northeast Mesa),Where: Venezia's Pizzeria (Northeast Mesa),33.431426,-111.716421
69,"Address: 3481 W Frye Rd, Chandler, AZ 85226",Chompie’s Ultimate Jewish Sliders Challenge (Chandler),Where: Chompie's Deli & Bakery (Chandler),33.295015,-111.939544
70,"Address: 9301 E Shea Blvd, Scottsdale, AZ 85260",Chompie’s Ultimate Jewish Sliders Challenge (Scottsdale),Where: Chompie's Deli & Bakery (Scottsdale),33.58082,-111.88188999999998
71,"Address: 1160 E University Dr, Tempe, AZ 85281",Chompie’s Ultimate Jewish Sliders Challenge (Tempe),Where: Chompie's Deli & Bakery (Tempe),33.42672,-111.93153600000001
72,"Address: 4550 E Cactus Rd, Phoenix, AZ 85032",Chompie’s Ultimate Jewish Sliders Challenge (Phoenix),Where: Chompie's Deli & Bakery (Paradise Valley),33.624865,-112.00395
73,"Address: 5005 E McKellips Rd, Mesa, AZ 85215",Tom’s BBQ “Full House” Sandwich Challenge (East Mesa),Where: Tom's BBQ (East Mesa),33.480028999999995,-111.69615900000001
74,"Address: 115 E Baseline Rd, Ste #5, Tempe, AZ 85283",Tom’s BBQ “Full House” Sandwich Challenge (Tempe),Where: Tom's BBQ (Tempe),33.365027000000005,-111.929278
75,"Address: 1140 S Country Club Dr, Mesa, AZ 85210",Tom’s BBQ “Full House” Sandwich Challenge (Mesa),Where: Tom's BBQ (Mesa),33.3943,-111.8406
76,"Address: 201 S 4th St, Phoenix, AZ 85034",Game Seven’s Hottest Wings In Baseball,Where: Game Seven Grill @ Chase Field,33.4455,-112.06848000000001
77,"Address: 2611 N Central Ave, Phoenix, AZ 85004",Durant’s 48oz Porterhouse Steak Challenge,Where: Durant's Fine Dining Restaurant,33.47702,-112.07297
78,"Address: 1960 W Baseline Rd, Ste #104, Mesa, AZ 85202",The 24″ Big Jimmy Pizza Challenge (Mesa),Where: Jimmy & Joe's Pizzeria (Mesa),33.378547999999995,-111.875887
79,"Address: 3950 W Ray Rd, Chandler, AZ 85226",The 24″ Big Jimmy Pizza Challenge (Chandler),Where: Jimmy & Joe's Pizzeria (Chandler),33.259055,-111.89898500000001
80,"Address: 586 W Apache Trail, Apache Junction, AZ 85120",Dirtwater Springs’ 72oz Gambler’s Choice Steak Challenge,Where: Dirtwater Springs Restaurant,33.415168,-111.563351
81,"Address: 3369 AR-367 N, Austin, AR 72007",Austin Fish and Seafood Overload Challenge,Where: Lakewood Fish and Seafood (Austin),35.00015,-91.98267
82,"Address: 4801 N Hills Blvd, North Little Rock, AR 72116",Lakewood Fish and Seafood Overload Challenge (North Little Rock),Where: Lakewood Fish and Seafood (North Little Rock),34.79959,-92.23834000000001
83,"Address: 133 Bevill Ave, Gosnell, AR 72315
",Turtley Sauced’s 28-Inch “Shell-Shocked” Team Pizza Challenge,Where: Turtley Sauced Pizza Restaurant,35.95947,-89.96977
84,"Address: 23080 AR-5, Allison, AR 72050",Anglers White River Resort Burger Challenge,Where: Anglers White River Resort,36.48731,-94.30968
85,"Address: 505 Union St, Dardanelle, AR 72834",Bocadillos’ “Cheat Meal” Burrito Challenge,Where: Bocadillos Restaurant Tacos & Ice Cream,35.221509999999995,-93.16163
86,"Address: 924 E Collin Raye Dr, De Queen, AR 71832
",Simple Simon’s 29″ Beast Team Pizza Challenge (De Queen),Where: Simple Simons Pizza (De Queen),34.069579,-94.300085
87,"Address: 1650 W Dewitt Henry Dr, Beebe, AR 72012",Simple Simon’s 29″ Beast Team Pizza Challenge (Beebe),Where: Simple Simons Pizza (Beebe),35.097925,-91.913974
88,"Address: 402 E 9th St, Little Rock AR 72202",Stone’s Throw Brewing’s Triple Burger Challenge,Where: Stone's Throw Brewing MacPark Brewpub & Biergarten,34.742001,-92.27618000000001
89,"Address: 5505 Phoenix Ave, Fort Smith, AR 72903",Gusano’s 30″ “Big G” Team Pizza Challenge (Fort Smith),Where: Gusano's Pizzeria (Fort Smith),35.343,-94.37462
90,"Address: 1335 Airport Rd, Hot Springs, AR 71913",Cotija Mexican Restaurant’s Gigante Burrito Challenge,Where: Cotija Mexican Restaurant,34.47074,-93.1288
91,"Address: 7824 Hwy 107, Sherwood, AR 72120",Pig’N-Chik’s Sarge Burger Challenge,Where: Pig'N-Chik BBQ,34.82653,-92.23104000000001
92,"Address: 1509 E Main St, Russellville, AR 72801",The Brangus 4lb Steak Challenge,Where: Brangus Steakhouse,35.27984,-93.11495
93,"Address: 128 S 2nd St, Rogers, AR 72756",Kirby’s Kupcakes’ Goliath Cupcake Challenge,Where: Kirby's Kupcakes,36.339067,-94.042776
94,"Address: 1316 Main St, Little Rock, AR 72202",The Midtown Monster Burger Challenge,Where: Midtown Billiards,34.73587,-92.27311
95,"Address: 1500 Towson Ave, Fort Smith, AR 72901",Ed Walker’s 5lb Burger Challenge,Where: Ed Walker's Drive-In,35.36905,-94.42188
96,"Address: 220 N West Ave, Fayetteville, AR 72701",Grub’s Burger Patty Record Challenge (Downtown),Where: Grub's Bar & Grill (Downtown),36.017645,-94.115318
97,"Address: 3467 N Shiloh Dr, Fayetteville, AR 72703",Grub’s Burger Patty Record Challenge (Uptown),Where: Grub's Bar & Grill (Uptown),36.11492,-94.15628000000001
98,"Address: 3001 Market St, Rogers, AR 72758",Grub’s Burger Patty Record Challenge (Rogers),Where: Grub's Bar & Grill (Rogers),36.308588,-94.188123
99,"Address: 3096 Bill Foster Memorial Hwy, Cabot, AR 72023",Mean Pig’s Shut Up Juice Sandwich Challenge,Where: The Mean Pig BBQ,34.94489,-92.06056
100,"Address: 14145 Campo Rd, Jamul, CA 91935",Tony Gwynn’s “Hall of Fame” Burger Challenge (Jamul Casino),Where: Tony Gwynn's Sports Pub (inside Jamul Casino),32.70395,-116.86877
101,"Address: 8850 Corbin Ave, Northridge, CA 91324",Handel’s Homemade 16-Scoop Ice Cream Sundae Challenge,Where: Handel's Homemade Ice Cream ,34.23145,-118.56861
102,"Address: 778 E. Center Ave, Visalia, CA 93292",Planing Mill’s “Giganteum” Team Pizza Challenge,Where: The Planing Mill Artisan Pizzeria,36.363298,-119.23436399999999
103,"Address: 1190 Hillsdale Ave, San Jose, CA 95118",Corner Pho’s “Pho-Mongus” Pho Challenge,Where: Corner Pho,37.27469,-121.88051000000002
104,"Address: 17210 Pacific Coast Hwy, Huntington Beach, CA 92649",Stoney’s Pizza’s Delicious 6lb Calzone Challenge,Where: Stoney's Pizza,33.71285,-118.06352
105,"Address: 3835 E Castro Valley Blvd, Castro Valley, CA 94552",Pho Play’s “Pho” Eating Challenge,Where: Pho Play - Castro Valley,37.698767,-122.020775
106,"Address: 670 E 3rd Ave, San Mateo, CA 94401",Karaage Burger’s Mega Eating Challenge,Where: Karaage Burger,37.572520000000004,-122.319746
107,"Address: 864 Blossom Hill Rd, Ste A, San Jose, CA, 95123",Masa Ramen & Sake Bar’s “Masumo Bowl” Ramen Challenge,Where: Masa Ramen & Sake Bar,37.2494,-121.85748999999998
108,"Address: 116 E Chapman Ave, Orange, CA 92866",Watson’s “8th Wonder of the World” Burger Challenge,Where: Watson's Soda Fountain & Café,33.78767,-117.85226000000002
109,"Address: 2861 Sunset Blvd, Los Angeles, CA 90026",WOOD’s Handcrafted Metro Pizza Challenge,Where: WOOD Handcrafted Pizza Restaurant ,34.08291,-118.27297
110,"Address: 125 W Santa Fe Ave, Fullerton, CA 92832",Heroes’ Giant Pancake Breakfast Challenge,Where: Heroes Bar & Grill,33.868041,-117.929787
111,"Address: 2500 New Stine Rd, Bakersfield, CA 93313",Cataldo’s 30” Meat Lovers Pizza Challenge (New Stine Rd),Where: Cataldo's Pizzeria (New Stine Rd),35.33149,-119.05726999999999
112,"Address: 650 Roberts Ln, Bakersfield, CA 93308",Cataldo’s 30” Meat Lovers Pizza Challenge (Roberts Ln),Where: Cataldo's Pizzeria (Roberts Ln),35.420159999999996,-119.05873999999999
113,"Address: 9641 Lakewood Blvd, Downey, CA 90240",Baby Bro’s “Big Bro” Pizza Challenge (Downey),Where: Baby Bro's Pizza (Downey),33.95264,-118.11466999999999
114,"Address: 9847 Rush St, South El Monte, CA 91733",Baby Bro’s “Big Bro” Pizza Challenge (South El Monte),Where: Baby Bro's Pizza (South El Monte),34.05211,-118.05398000000001
115,"Address: 11007 Lower Azusa Rd, Ste C, El Monte, CA 91731",Baby Bro’s “Big Bro” Pizza Challenge (El Monte),Where: Baby Bro's Pizza (El Monte),34.09212,-118.02601000000001
116,"Address: 3173 W Shaw Ave, Ste #103, Fresno, CA 93711",10lb Spicy Butter Chicken Pizza Challenge (Shaw & Marks),Where: The Curry Pizza Company (Shaw & Marks),36.830703,-119.832932
117,"Address: 2930 E Nees Ave, Fresno, CA 93720",10lb Spicy Butter Chicken Pizza Challenge (Willow & Nees),Where: The Curry Pizza Company (Willow & Nees),36.859320000000004,-119.759328
118,"Address: 5698 South Elm Ave, Fresno, CA 93706",Country Creamery’s Easton Feast’N Challenge,Where: Country Creamery ,36.6921,-119.79078999999999
119,"Address: 932 Geneva Ave, San Francisco, CA 94112, USA",Phillies’ FIVE Rocky Balboa Cheesesteaks Challenge,Where: Phillies,37.71593,-122.44071000000001
120,"Address: 8704 La Riviera Dr, Sacramento, CA 95826",Pitch & Fiddle’s “No Chance” Burger Challenge,Where: Pitch and Fiddle,38.56391,-121.37987
121,"Address: 11172 Washington Blvd, Culver City, CA 90232",Ramen Yamadaya’s Spicy Noodle Challenge (Culver City),Where: Ramen Yamadaya (Culver City),34.0077,-118.41261999999999
122,"Address: 1175 Baker St, Costa Mesa, CA 92626",Ramen Yamadaya’s Spicy Noodle Challenge (Costa Mesa),Where: Ramen Yamadaya (Costa Mesa),33.67986,-117.90648999999999
123,"Address: 1766 E Valley Pkwy, Escondido, CA 92027",Kennedy’s 7lb California Tacos Challenge,Where: Kennedy's Meat Company,33.136181,-117.027502
124,"Address: 1630 W Redondo Beach Blvd, Ste #22, Gardena, CA 90247",Yummy Hero’s “Superhero” Taiwanese Meal Challenge,Where: Yummy Hero,33.89181,-118.296621
125,"Address: 7287 El Cajon Blvd, San Diego, CA 92115",Tako Factory’s Taco Eating Challenge,Where: Tako Factory,32.76852,-117.04061999999999
126,"Address: 1480 Jamacha Rd, Ste #203, El Cajon, CA 92019",Funky Fries’ Mac & Cheese Burger Challenge (Rancho San Diego),Where: Funky Fries & Burgers (Rancho San Diego),32.793890000000005,-116.93526999999999
127,"Address: 68703 Perez Rd, Cathedral City, CA 92234",Zobo & Meester’s El Jefe Burrito Challenge,Where: Zobo & Meester's,33.783409999999996,-116.46356000000002
128,"Address: 101 W Washington Ave, El Cajon, CA 92020",Funky Fries & Burgers’ Mac and Cheese Burger Challenge (El Cajon),Where: Funky Fries & Burgers (El Cajon),32.795204,-116.971677
129,"Address: 1234 Broad St, San Luis Obispo, CA 93401",Libertine Brewing Company’s “Tot-Cho Bro” Challenge,Where: Libertine Brewing Company (San Luis Obispo),35.27766,-120.66309
130,"Address: 6165 El Cajon BlvdSte ASan Diego, CA 92115",Super Bowl Challenge,Where: Top 10 Oreintal Resturant,32.76169,-117.06465
131,"Address: 413 main st  Barstow, California 92311",Roy’s Cafe Heart Attack Challenge,Where: Roy's Cafe,34.89906,-117.02306999999999
132,"Address: 31333 Temecula Parkway, #130, Temecula, CA  92592",King Pua’a Challenge,Where: Da Coconut Cafe,33.475809999999996,-117.11595
133,"Address: 1410 Burton mesa blvd  Lompoc, California 93436",Mariscos La Rancherita’s Monster Burrito Challenge,Where: Mariscos La Rancherita,34.69547,-120.4512
134,"Address: 19032 La Puente rd West Covina, California 91792",The Crazy Raina BoBa Challenge,Where: Ding Tea,34.01397,-117.87485
135,"Address: 5526 Del Amo Blvd
Lakewood, California",Genkiyaki Zombie Burrito Challenge,Where: GenkiYaki,33.84652,-118.12398999999999
136,"Address: 650 S Lincoln Ave, Corona, CA 92882",Pho Xpress Challenge Bowl,Where: Pho Xpress,33.87668,-117.58386000000002
137,"Address: 3041 Plaza Bonita Rd, Ste #105, Chula Vista, CA 91910",619 CaliQuake Burrito Challenge (Bonita),Where: El Pollo Grill (Bonita),32.648309999999995,-117.0587
138,"Address: 11815 E Foothill Blvd, Rancho Cucamonga, CA 91730",Taco Hut’s “Big Jess” Burrito Challenge,Where: Taco Hut (Rancho Cucamonga),34.105740000000004,-117.54758000000001
139,"Address: 1604 Lakeshore Dr, Lake Elsinore, CA 92530",Jack’s BBQ Shack’s “Jackhammer” Burger Challenge,Where: Jack's BBQ Shack,33.67328,-117.34532
140,"Address: 21006 Hawthorne Blvd, Torrance, CA 90503",Ko-Ryu’s Level 20 Legendary Ramen Challenge,Where: Ko-Ryu Ramen,33.83938,-118.35305
141,"Address: 5120 College Ave, San Diego, CA 92115",SDSU Broken Yolk Cafe’s “Montezuma’s Revenge” Challenge,Where: SDSU Broken Yolk Cafe,32.773179999999996,-117.08458
142,"Address: 18902 Norwalk Blvd, Artesia, CA 90701",Thailicious’ Tom Yum Fiery Noodle Challenge,Where: Thailicious,33.85949,-118.07186999999999
143,"Address: 14950 7th St, Victorville, CA 92395",Apollo Restaurant’s “Funny Farm” Burger Challenge,Where: Apollo Resturant,34.52341,-117.3069
144,"Address: 630 S Grand Ave, Glendora, CA 91740",Krave Kobe Burger Grill’s “Karnivore Kolossal” Challenge,Where: The Krave Kobe Burger Grill,34.118655,-117.854653
145,"Address: 12625 Frederick St, Moreno Valley, CA 92553",Hoggs Gourmet Grill’s Quad Burger Challenge,Where: Hoggs Gourmet Grill,33.93634,-117.26208999999999
146,"Address: 10585 Slater Ave, Ste #4A, Fountain Valley, CA 92708",Pholicious’ “Pho Nomenal” Pho Challenge,Where: Pholicious,33.7096,-117.94411000000001
147,"Address: 16901 Ventura Blvd, Encino, CA 91316",Fat Sal’s Big Fat Fatty Sandwich Challenge (Encino),Where: Fat Sal's Deli (Encino),34.15967,-118.50141
148,"Address: 1526 Mission St, South Pasadena, CA 91030",Fair Oaks Pharmacy’s Kitchen Sink Sundae Challenge,Where: Fair Oaks Pharmacy,34.10694,-118.17015
149,"Address: 11603 Slater St, Los Angeles, CA 90059",Hawkings House of Burgers’ “Leaning Tower of Watts” Challenge,Where: Hawkings House of Burgers,33.930820000000004,-118.25327
150,"Address: 25985 CA-243, Idyllwild, CA 92549, USA",The Lumber Mill’s 6lb “Paul Bunyan” Burger Challenge,Where: The Lumber Mill Bar & Grill,33.8303,-116.7961
151,Address: 2494 Imperial Ave. San Diego Ca 92102,El Paisa Mexican Grill’s 25 Street Tacos Challenge,Where: El Paisa Mexican Grill,32.706579999999995,-117.14053
152,"Address: 1437 Foothill Blvd, La Verne, CA 91750",Mi Ranchito’s “Big One” Burrito Challenge (La Verne),Where: Mi Ranchito Restaurant (La Verne),34.117490000000004,-117.77644
153,"Address: 3060 Cochran St, Simi Valley, CA 93065",The Sandwich Spot’s Beast Sandwich Challenge,Where: The Sandwhich Spot,34.27906,-118.73942
154,"Address: 68703 Perez Rd, Ste #A1, Cathedral City, CA 92234",Zobo & Meester’s 6lb Sub Sandwich Challenge,Where: Zobo and Meester's,33.783409999999996,-116.46356000000002
155,"Address: 16821 Algonquin St, Ste #102, Huntington Beach, CA 92649",Tabu Shabu’s “Godzilla” Challenge (Huntington Beach),Where: Tabu Shabu (Huntington Beach),33.71751,-118.05115
