Restaurant address,Challenge name,Location name,Latitude,Longitude
"Address: 2409 C Street, Anchorage, AK 99503",Kriner’s Diner’s Andy’s Awesome Alaskan Breakfast Challenge,Where: Kriner's Diner (C Street),,
"Address: 33320 Sterling Highway, Sterling, AK 99672",Mama’s Wilderness BBQ’s “Leftovers For Dinner” Challenge,Where: Mama's Wilderness BBQ and Rub,,
"Address: 600 W 6th Ave, Anchorage, AK 99501",Flattop Pizza’s “Wild Thing” Alaskan Pizza Challenge,Where: Flattop Pizza + Pool,,
"Address: 3074 Mountain View Dr, Ste #151, Anchorage, AK 99501",Kriner’s Burgers and Pie’s Family Burger Challenge,Where: Kriner's Burgers & Pies,,
"Address: 13650 E Main St, Talkeetna, AK 99676",West Rib Pub’s “Seward’s Folly” Caribou Burger Challenge,Where: West Rib Pub & Grill,,
"Address: 44332 Sterling Hwy, Soldotna, AK 99669",Firehouse BBQ’s 8-Alarm Burger Challenge,Where: Firehouse BBQ Soldotna,,
"Address: 333 W 4th Ave, Anchorage, AK 99501",Tiki Pete’s “Taste of Alaska” Food Challenge,Where: Tiki Pete's Alaskan Grill,,
"Address: 2808 E Tudor Rd, Anchorage, AK 99507",MVP Sports Deli’s 9lb Sub Team Sandwich Challenge,Where: MVP Sports Deli & Eatery ,,
"Address: 901 E Dimond Blvd, Anchorage, AK 99515",PHOnatik Vietnamese Cuisine’s Pho Challenge,Where: PHOnatik Vietnamese Cuisine & Lounge,,
"Address: 672 East End Rd, Homer, AK 99603",Boss Hogz’ “Big Boss” Grilled Cheese Burger Challenge,Where: Boss Hoggz All-American Diner and Ice-Cream Parlor,,
"Address: 354 Old Steese Hwy, Fairbanks, AK 99701",Brewster’s Belly Buster Challenge (North Gate Square),Where: Brewster's (North Gate Square),,
"Address: 3578 Airport Way, Fairbanks, AK 99701",Brewster’s Belly Buster Challenge (Teddy Bear Plaza),Where: Brewster's (Teddy Bear Plaza),,
"Address: 2409 C Street, Anchorage, AK 99503",Kriner’s Diner’s Family Burger Challenge (C Street),Where: Kriner's Diner (C Street),,
"Address: 610 W 6th Ave, Anchorage, AK 99501",Humpy’s Great Alaskan “Kodiak Arrest” Crab Legs Challenge,Where: Humpy's Great Alaskan Alehouse,,
"Address: 524 N 92nd St, Scottsdale, AZ 85256",CAZ Sports Bar’s Great 48oz Burger Challenge,Where: CAZ Sports Bar (Inside Casino Arizona),,
"Address: 6060 E Brown Rd, Mesa, AZ 85205",Sonson’s 5lb Savory Pasty Challenge,Where: Sonson's Pasty Company,,
"Address: 350 S Mill Ave, Tempe, AZ 85281",Americana Tempe’s “Americanator” Burger Challenge,Where: Americana Tempe,,
"Address: 10652 N 32nd St, Phoenix, AZ 85028",Aioli Gourmet Burgers’ Triple Threat Challenge,Where: Aioli Gourmet Burgers ,,
"Address: 91 London Bridge Rd, Lake Havasu City, AZ 86403",Fat Sub’s 3 Foot Mega Sub Challenge,Where: Fat Sub,,
"Address: 1 Cardinals Dr, Glendale, AZ 85305",Arizona Cardinals’ Gridiron Burger Challenge,Where: Section 102 Gridiron Grill (AZ Cardinals' Stadium),,
"Address: 250 S Craycroft Rd, Tucson, AZ 85711",Trident Grill’s “Navy Seal” Burger Challenge (Williams Center),Where: Trident Grill (Willaims Center),,
"Address: 614 N Grande Ave, Tucson, AZ 85745",Tania’s Mighty B.Rex Burrito Challenge,"Where: Tania's ""33"" Mexican Food",,
"Address: 10392 N Scottsdale Rd, Scottsdale, AZ 85253",Porkopolis’ Brady Bacon Burger Challenge (Scottsdale),Where: Porkopolis BBQ (Scottsdale),,
"Address: 1445 S Arizona Ave, Chandler, AZ 85286",Porkopolis’ Brady Bacon Burger Challenge (Chandler),Where: Porkopolis BBQ (Chandler),,
"Address: 2960 N Swan Rd, Tucson, AZ 85712",Trident Grill’s “Navy Seal” Burger Challenge (Trident II East),Where: Trident II East,,
"Address: 2033 E Speedway Blvd, Tucson, AZ 85719",Trident Grill’s “Navy Seal” Burger Challenge (Trident University),Where: Trident University,,
"Address: 5110 N Dysart Rd, Litchfield Park, AZ 85340",Tailgaters & Il Primo’s 30″ Pizza Challenge (Litchfield Park),Where: Tailgaters Sports Grill & Il Primo Pizza (Litchfield Park),,
"Address: 15529 W Bell Rd, Surprise, AZ 85374",Tailgaters & Il Primo’s 30″ Pizza Challenge (Surprise),Where: Tailgaters Sports Grill & Il Primo Pizza & Wings (Surprise),,
"Address: 10146 W Lake Pleasant Pkwy, Peoria, AZ 85382",Tailgaters & Il Primo’s 30″ Pizza Challenge (Peoria),Where: Tailgaters Sports Grill & Il Primo Pizza & Wings (Peoria),,
"Address: 7160 E Pav Way, Prescott Valley, AZ 86314",Tailgaters & Il Primo’s 30″ Pizza Challenge (Prescott Valley),Where: Tailgaters Sports Grill & Il Primo Pizza & Wings,,
"Address: 15620 N Tatum Blvd, Ste #100, Phoenix, AZ 85032",Venezia’s 24″ Pizza Party Challenge (North Phoenix),Where: Venezia's Pizzeria (North Phoenix),,
"Address: 2034 E Southern Ave, Mesa, AZ 85204",The Broken Yolk’s Iron Man Omelet Challenge (Mesa – Arizona),Where: The Broken Yolk Cafe (Mesa - Arizona),,
"Address: 1980 W Germann Rd, Chandler, AZ 85286",Cold Beers Cheeseburger Challenge (Chandler),Where: Cold Beers & Cheeseburgers (Chandler),,
"Address: 500 N 4th Ave, Tucson, AZ 85705",Lindy’s OMFG Burger Challenge,Where: Lindy's On 4th,,
"Address: 5101 N Scottsdale Rd, Scottsdale, AZ 85250",Papi Chulo’s 6lb Burrito Challenge,Where: Papi Chulo's Cantina,,
"Address: 4251 N Winfield Scott Plaza, Scottsdale, AZ 85251",Giligin’s Colon Buster Challenge,Where: Giligin's Bar & Grill,,
"Address: 4251 N Winfield Scott Plaza, Scottsdale, AZ 85251",Giligin’s Pizza Roll Challenge,Where: Giligin's Bar & Grill,,
"Address: 4251 N Winfield Scott Plaza, Scottsdale, AZ 85251",Giligin’s Corn Dog Challenge,Where: Giligin's Bar & Grill,,
"Address: 4251 N Winfield Scott Plaza, Scottsdale, AZ 85251",Giligin’s Old 96’er Burger Challenge,Where: Giligin's Bar & Grill,,
"Address: 4222 N Scottsdale Rd, Scottsdale, AZ 85251",Cold Beers Cheeseburger Challenge (Old Town),Where: Cold Beers & Cheeseburgers (Old Town),,
"Address: 20831 N Scottsdale Rd, Ste #117, Scottsdale, AZ 85255",Cold Beers Cheeseburger Challenge (N Scottsdale),Where: Cold Beers & Cheeseburgers (N Scottsdale),,
"Address: 415 E Highway 70, Safford, AZ 85546",Manor House’s Taco Tuesday “Taco Titan” Record Challenge,Where: Manor House Restaurant & Rock'n Horse Saloon,,
"Address: 1781 E State Rt 69, Prescott, AZ 86301",Zeke’s Wagon Wheel Pancakes Challenge,Where: Zeke's Eatin Place,,
"Address: 744 W Ray Rd, Ste #101, Gilbert, AZ 85233",Venezia’s 24″ Pizza Party Challenge (Gilbert),Where: Venezia's Pizzeria (Gilbert),,
"Address: 27 E Southern Ave, Tempe, AZ 85282",Venezia’s 24″ Pizza Party Challenge (Tempe),Where: Venezia's Pizzeria (Tempe),,
"Address: 2721 S Ellsworth Rd, Ste #107, Mesa, AZ 85209",Venezia’s 24″ Pizza Party Challenge (East Mesa),Where: Venezia's Pizzeria (East Mesa),,
"Address: 5057 E McKellips Rd, Mesa, AZ 85205
",Venezia’s 24″ Pizza Party Challenge (Northeast Mesa),Where: Venezia's Pizzeria (Northeast Mesa),,
"Address: 3481 W Frye Rd, Chandler, AZ 85226",Chompie’s Ultimate Jewish Sliders Challenge (Chandler),Where: Chompie's Deli & Bakery (Chandler),,
"Address: 9301 E Shea Blvd, Scottsdale, AZ 85260",Chompie’s Ultimate Jewish Sliders Challenge (Scottsdale),Where: Chompie's Deli & Bakery (Scottsdale),,
"Address: 1160 E University Dr, Tempe, AZ 85281",Chompie’s Ultimate Jewish Sliders Challenge (Tempe),Where: Chompie's Deli & Bakery (Tempe),,
"Address: 4550 E Cactus Rd, Phoenix, AZ 85032",Chompie’s Ultimate Jewish Sliders Challenge (Phoenix),Where: Chompie's Deli & Bakery (Paradise Valley),,
"Address: 5005 E McKellips Rd, Mesa, AZ 85215",Tom’s BBQ “Full House” Sandwich Challenge (East Mesa),Where: Tom's BBQ (East Mesa),,
"Address: 115 E Baseline Rd, Ste #5, Tempe, AZ 85283",Tom’s BBQ “Full House” Sandwich Challenge (Tempe),Where: Tom's BBQ (Tempe),,
"Address: 1140 S Country Club Dr, Mesa, AZ 85210",Tom’s BBQ “Full House” Sandwich Challenge (Mesa),Where: Tom's BBQ (Mesa),,
"Address: 201 S 4th St, Phoenix, AZ 85034",Game Seven’s Hottest Wings In Baseball,Where: Game Seven Grill @ Chase Field,,
"Address: 2611 N Central Ave, Phoenix, AZ 85004",Durant’s 48oz Porterhouse Steak Challenge,Where: Durant's Fine Dining Restaurant,,
"Address: 1960 W Baseline Rd, Ste #104, Mesa, AZ 85202",The 24″ Big Jimmy Pizza Challenge (Mesa),Where: Jimmy & Joe's Pizzeria (Mesa),,
"Address: 3950 W Ray Rd, Chandler, AZ 85226",The 24″ Big Jimmy Pizza Challenge (Chandler),Where: Jimmy & Joe's Pizzeria (Chandler),,
"Address: 586 W Apache Trail, Apache Junction, AZ 85120",Dirtwater Springs’ 72oz Gambler’s Choice Steak Challenge,Where: Dirtwater Springs Restaurant,,
"Address: 3369 AR-367 N, Austin, AR 72007",Austin Fish and Seafood Overload Challenge,Where: Lakewood Fish and Seafood (Austin),,
"Address: 4801 N Hills Blvd, North Little Rock, AR 72116",Lakewood Fish and Seafood Overload Challenge (North Little Rock),Where: Lakewood Fish and Seafood (North Little Rock),,
"Address: 133 Bevill Ave, Gosnell, AR 72315
",Turtley Sauced’s 28-Inch “Shell-Shocked” Team Pizza Challenge,Where: Turtley Sauced Pizza Restaurant,,
"Address: 23080 AR-5, Allison, AR 72050",Anglers White River Resort Burger Challenge,Where: Anglers White River Resort,,
"Address: 505 Union St, Dardanelle, AR 72834",Bocadillos’ “Cheat Meal” Burrito Challenge,Where: Bocadillos Restaurant Tacos & Ice Cream,,
"Address: 924 E Collin Raye Dr, De Queen, AR 71832
",Simple Simon’s 29″ Beast Team Pizza Challenge (De Queen),Where: Simple Simons Pizza (De Queen),,
"Address: 1650 W Dewitt Henry Dr, Beebe, AR 72012",Simple Simon’s 29″ Beast Team Pizza Challenge (Beebe),Where: Simple Simons Pizza (Beebe),,
"Address: 402 E 9th St, Little Rock AR 72202",Stone’s Throw Brewing’s Triple Burger Challenge,Where: Stone's Throw Brewing MacPark Brewpub & Biergarten,,
"Address: 5505 Phoenix Ave, Fort Smith, AR 72903",Gusano’s 30″ “Big G” Team Pizza Challenge (Fort Smith),Where: Gusano's Pizzeria (Fort Smith),,
"Address: 1335 Airport Rd, Hot Springs, AR 71913",Cotija Mexican Restaurant’s Gigante Burrito Challenge,Where: Cotija Mexican Restaurant,,
"Address: 7824 Hwy 107, Sherwood, AR 72120",Pig’N-Chik’s Sarge Burger Challenge,Where: Pig'N-Chik BBQ,,
"Address: 1509 E Main St, Russellville, AR 72801",The Brangus 4lb Steak Challenge,Where: Brangus Steakhouse,,
"Address: 128 S 2nd St, Rogers, AR 72756",Kirby’s Kupcakes’ Goliath Cupcake Challenge,Where: Kirby's Kupcakes,,
"Address: 1316 Main St, Little Rock, AR 72202",The Midtown Monster Burger Challenge,Where: Midtown Billiards,,
"Address: 1500 Towson Ave, Fort Smith, AR 72901",Ed Walker’s 5lb Burger Challenge,Where: Ed Walker's Drive-In,,
"Address: 220 N West Ave, Fayetteville, AR 72701",Grub’s Burger Patty Record Challenge (Downtown),Where: Grub's Bar & Grill (Downtown),,
"Address: 3467 N Shiloh Dr, Fayetteville, AR 72703",Grub’s Burger Patty Record Challenge (Uptown),Where: Grub's Bar & Grill (Uptown),,
"Address: 3001 Market St, Rogers, AR 72758",Grub’s Burger Patty Record Challenge (Rogers),Where: Grub's Bar & Grill (Rogers),,
"Address: 3096 Bill Foster Memorial Hwy, Cabot, AR 72023",Mean Pig’s Shut Up Juice Sandwich Challenge,Where: The Mean Pig BBQ,,
"Address: 14145 Campo Rd, Jamul, CA 91935",Tony Gwynn’s “Hall of Fame” Burger Challenge (Jamul Casino),Where: Tony Gwynn's Sports Pub (inside Jamul Casino),,
"Address: 8850 Corbin Ave, Northridge, CA 91324",Handel’s Homemade 16-Scoop Ice Cream Sundae Challenge,Where: Handel's Homemade Ice Cream ,,
"Address: 778 E. Center Ave, Visalia, CA 93292",Planing Mill’s “Giganteum” Team Pizza Challenge,Where: The Planing Mill Artisan Pizzeria,,
"Address: 1190 Hillsdale Ave, San Jose, CA 95118",Corner Pho’s “Pho-Mongus” Pho Challenge,Where: Corner Pho,,
"Address: 17210 Pacific Coast Hwy, Huntington Beach, CA 92649",Stoney’s Pizza’s Delicious 6lb Calzone Challenge,Where: Stoney's Pizza,,
"Address: 3835 E Castro Valley Blvd, Castro Valley, CA 94552",Pho Play’s “Pho” Eating Challenge,Where: Pho Play - Castro Valley,,
"Address: 670 E 3rd Ave, San Mateo, CA 94401",Karaage Burger’s Mega Eating Challenge,Where: Karaage Burger,,
"Address: 864 Blossom Hill Rd, Ste A, San Jose, CA, 95123",Masa Ramen & Sake Bar’s “Masumo Bowl” Ramen Challenge,Where: Masa Ramen & Sake Bar,,
"Address: 116 E Chapman Ave, Orange, CA 92866",Watson’s “8th Wonder of the World” Burger Challenge,Where: Watson's Soda Fountain & Café,,
"Address: 2861 Sunset Blvd, Los Angeles, CA 90026",WOOD’s Handcrafted Metro Pizza Challenge,Where: WOOD Handcrafted Pizza Restaurant ,,
"Address: 125 W Santa Fe Ave, Fullerton, CA 92832",Heroes’ Giant Pancake Breakfast Challenge,Where: Heroes Bar & Grill,,
"Address: 2500 New Stine Rd, Bakersfield, CA 93313",Cataldo’s 30” Meat Lovers Pizza Challenge (New Stine Rd),Where: Cataldo's Pizzeria (New Stine Rd),,
"Address: 650 Roberts Ln, Bakersfield, CA 93308",Cataldo’s 30” Meat Lovers Pizza Challenge (Roberts Ln),Where: Cataldo's Pizzeria (Roberts Ln),,
"Address: 9641 Lakewood Blvd, Downey, CA 90240",Baby Bro’s “Big Bro” Pizza Challenge (Downey),Where: Baby Bro's Pizza (Downey),,
"Address: 9847 Rush St, South El Monte, CA 91733",Baby Bro’s “Big Bro” Pizza Challenge (South El Monte),Where: Baby Bro's Pizza (South El Monte),,
"Address: 11007 Lower Azusa Rd, Ste C, El Monte, CA 91731",Baby Bro’s “Big Bro” Pizza Challenge (El Monte),Where: Baby Bro's Pizza (El Monte),,
"Address: 3173 W Shaw Ave, Ste #103, Fresno, CA 93711",10lb Spicy Butter Chicken Pizza Challenge (Shaw & Marks),Where: The Curry Pizza Company (Shaw & Marks),,
"Address: 2930 E Nees Ave, Fresno, CA 93720",10lb Spicy Butter Chicken Pizza Challenge (Willow & Nees),Where: The Curry Pizza Company (Willow & Nees),,
"Address: 5698 South Elm Ave, Fresno, CA 93706",Country Creamery’s Easton Feast’N Challenge,Where: Country Creamery ,,
"Address: 932 Geneva Ave, San Francisco, CA 94112, USA",Phillies’ FIVE Rocky Balboa Cheesesteaks Challenge,Where: Phillies,,
"Address: 8704 La Riviera Dr, Sacramento, CA 95826",Pitch & Fiddle’s “No Chance” Burger Challenge,Where: Pitch and Fiddle,,
"Address: 11172 Washington Blvd, Culver City, CA 90232",Ramen Yamadaya’s Spicy Noodle Challenge (Culver City),Where: Ramen Yamadaya (Culver City),,
"Address: 1175 Baker St, Costa Mesa, CA 92626",Ramen Yamadaya’s Spicy Noodle Challenge (Costa Mesa),Where: Ramen Yamadaya (Costa Mesa),,
"Address: 1766 E Valley Pkwy, Escondido, CA 92027",Kennedy’s 7lb California Tacos Challenge,Where: Kennedy's Meat Company,,
"Address: 1630 W Redondo Beach Blvd, Ste #22, Gardena, CA 90247",Yummy Hero’s “Superhero” Taiwanese Meal Challenge,Where: Yummy Hero,,
"Address: 7287 El Cajon Blvd, San Diego, CA 92115",Tako Factory’s Taco Eating Challenge,Where: Tako Factory,,
"Address: 1480 Jamacha Rd, Ste #203, El Cajon, CA 92019",Funky Fries’ Mac & Cheese Burger Challenge (Rancho San Diego),Where: Funky Fries & Burgers (Rancho San Diego),,
"Address: 68703 Perez Rd, Cathedral City, CA 92234",Zobo & Meester’s El Jefe Burrito Challenge,Where: Zobo & Meester's,,
"Address: 101 W Washington Ave, El Cajon, CA 92020",Funky Fries & Burgers’ Mac and Cheese Burger Challenge (El Cajon),Where: Funky Fries & Burgers (El Cajon),,
"Address: 1234 Broad St, San Luis Obispo, CA 93401",Libertine Brewing Company’s “Tot-Cho Bro” Challenge,Where: Libertine Brewing Company (San Luis Obispo),,
"Address: 6165 El Cajon BlvdSte ASan Diego, CA 92115",Super Bowl Challenge,Where: Top 10 Oreintal Resturant,,
"Address: 413 main st  Barstow, California 92311",Roy’s Cafe Heart Attack Challenge,Where: Roy's Cafe,,
"Address: 31333 Temecula Parkway, #130, Temecula, CA  92592",King Pua’a Challenge,Where: Da Coconut Cafe,,
"Address: 1410 Burton mesa blvd  Lompoc, California 93436",Mariscos La Rancherita’s Monster Burrito Challenge,Where: Mariscos La Rancherita,,
"Address: 19032 La Puente rd West Covina, California 91792",The Crazy Raina BoBa Challenge,Where: Ding Tea,,
"Address: 5526 Del Amo Blvd
Lakewood, California",Genkiyaki Zombie Burrito Challenge,Where: GenkiYaki,,
"Address: 650 S Lincoln Ave, Corona, CA 92882",Pho Xpress Challenge Bowl,Where: Pho Xpress,,
"Address: 3041 Plaza Bonita Rd, Ste #105, Chula Vista, CA 91910",619 CaliQuake Burrito Challenge (Bonita),Where: El Pollo Grill (Bonita),,
"Address: 11815 E Foothill Blvd, Rancho Cucamonga, CA 91730",Taco Hut’s “Big Jess” Burrito Challenge,Where: Taco Hut (Rancho Cucamonga),,
"Address: 1604 Lakeshore Dr, Lake Elsinore, CA 92530",Jack’s BBQ Shack’s “Jackhammer” Burger Challenge,Where: Jack's BBQ Shack,,
"Address: 21006 Hawthorne Blvd, Torrance, CA 90503",Ko-Ryu’s Level 20 Legendary Ramen Challenge,Where: Ko-Ryu Ramen,,
"Address: 5120 College Ave, San Diego, CA 92115",SDSU Broken Yolk Cafe’s “Montezuma’s Revenge” Challenge,Where: SDSU Broken Yolk Cafe,,
"Address: 18902 Norwalk Blvd, Artesia, CA 90701",Thailicious’ Tom Yum Fiery Noodle Challenge,Where: Thailicious,,
"Address: 14950 7th St, Victorville, CA 92395",Apollo Restaurant’s “Funny Farm” Burger Challenge,Where: Apollo Resturant,,
"Address: 630 S Grand Ave, Glendora, CA 91740",Krave Kobe Burger Grill’s “Karnivore Kolossal” Challenge,Where: The Krave Kobe Burger Grill,,
"Address: 12625 Frederick St, Moreno Valley, CA 92553",Hoggs Gourmet Grill’s Quad Burger Challenge,Where: Hoggs Gourmet Grill,,
"Address: 10585 Slater Ave, Ste #4A, Fountain Valley, CA 92708",Pholicious’ “Pho Nomenal” Pho Challenge,Where: Pholicious,,
"Address: 16901 Ventura Blvd, Encino, CA 91316",Fat Sal’s Big Fat Fatty Sandwich Challenge (Encino),Where: Fat Sal's Deli (Encino),,
"Address: 1526 Mission St, South Pasadena, CA 91030",Fair Oaks Pharmacy’s Kitchen Sink Sundae Challenge,Where: Fair Oaks Pharmacy,,
"Address: 11603 Slater St, Los Angeles, CA 90059",Hawkings House of Burgers’ “Leaning Tower of Watts” Challenge,Where: Hawkings House of Burgers,,
"Address: 25985 CA-243, Idyllwild, CA 92549, USA",The Lumber Mill’s 6lb “Paul Bunyan” Burger Challenge,Where: The Lumber Mill Bar & Grill,,
Address: 2494 Imperial Ave. San Diego Ca 92102,El Paisa Mexican Grill’s 25 Street Tacos Challenge,Where: El Paisa Mexican Grill,,
"Address: 1437 Foothill Blvd, La Verne, CA 91750",Mi Ranchito’s “Big One” Burrito Challenge (La Verne),Where: Mi Ranchito Restaurant (La Verne),,
"Address: 3060 Cochran St, Simi Valley, CA 93065",The Sandwich Spot’s Beast Sandwich Challenge,Where: The Sandwhich Spot,,
"Address: 68703 Perez Rd, Ste #A1, Cathedral City, CA 92234",Zobo & Meester’s 6lb Sub Sandwich Challenge,Where: Zobo and Meester's,,
"Address: 16821 Algonquin St, Ste #102, Huntington Beach, CA 92649",Tabu Shabu’s “Godzilla” Challenge (Huntington Beach),Where: Tabu Shabu (Huntington Beach),,
"Address: 333 E 17th St, Costa Mesa, CA 92627",Tabu Shabu’s “Godzilla” Challenge (Costa Mesa),Where: Tabu Shabu (Costa Mesa),,
"Address: 68703 Perez Rd, Ste # A1, Cathedral City, CA 92234",Zobo & Meester’s 7lb Salad Bowl Challenge,Where: Zobo and Meester's,,
"Address: 1076 Gayley Ave, Los Angeles, CA 90024",The House of Meatballs’ “Bloody Meatpit” Challenge,Where: House of Meatballs,,
"Address: 31401 Camino Capistrano, San Juan Capistrano, CA 92675",Taqueros’ “Chupacabra” 6lb Enchilada Challenge,Where: Taqueros Mexican Restaurant,,
"Address: 455 Saratoga Ave, San Jose, CA 95129",The Poke Paradise Bowl Challenge,Where: Poke Paradise,,
"Address: 120 W Santa Fe Ave, Placentia, CA 92870, USA",El Cantarito Restaurant’s Taco Tuesday Challenge,Where: El Cantarito Resturant,,
"Address: 14211 N Euclid St, Garden Grove, CA 92843",The SmoKING Ribs Challenge,Where: The Smoking Ribs,,
"Address: 10722 Beverly Blvd, Whittier, CA 90601, USA",Big D’s Big N’ Tasty Burger Challenge (Whittier),Where: Big D's Burgers (Whittier),,
"Address: 1007 Garnet Ave, San Diego, CA 92109",PB Pho & Grill’s Pho Challenge,Where: PB Pho & Grill,,
"Address: 1525 Mesa Verde Dr E #112, Costa Mesa, CA, 92626",Aiko No Chuuka’s Ramen Noodle Challenge,Where: Aoki No Chuuka,,
"Address: 436 Lincoln Blvd, Ste #206, Lincoln, CA",Double Barrel’s “Lucifer’s Dirty Dozen” Wing Challenge,Where: The Double Barrel Smokehouse,,
"Address: 1000 S De Anza Blvd San Jose, CA 95129",Mori Kitchen’s Giant Ramen Challenge,Where: Mori Kitchen,,
"Address: 106 N Sunrise Ave, Roseville, CA 95661",The Squeeze Inn’s Burger Patty Record Challenge (Roseville),Where: The Squeeze Inn (Roseville),,
"Address: 3300 Buena Vista Rd, Bakersfield, CA 93311",The Broken Yolk’s Iron Man Omelet Challenge (Bakersfield),Where: The Broken Yolk Cafe (Bakersfield),,
"Address: 2642 Del Mar Heights Rd, Del Mar, CA 92014",Broken Yolk’s Iron Man Omelet Challenge (Beachside Del Mar),Where: The Broken Yolk Cafe (Beachside Del Mar Shopping Center),,
"Address: 28621 Marguerite Pkwy, Mission Viejo, CA 92692",The Broken Yolk’s Iron Man Omelet Challenge (Mission Viejo),Where: The Broken Yolk Cafe (Mission Viejo),,
"Address: 22446 Ventura Blvd, Woodland Hills, CA 91364",Dan’s Super Subs’ Mega Sandwich Eating Challenge,Where: Dan's Super Subs,,
"Address: 1621 Polk St, San Francisco, CA 94109",Bob’s Donuts’ BIG Donut Challenge,Where: Bob's Donuts,,
"Address: 508 Contra Costa Blvd, Pleasant Hill, CA 94523",Pollo Pollo Super Spicy Chicken Wings Challenge,Where: Pollo Pollo,,
"Address: 510 Hidden Valley Pkwy, Ste #104, Corona, CA 92879",Hot Dog Shoppe’s Homewrecker Big Dog Challenge,Where: The Hot Dog Shoppe,,
"Address: 1084 Montgomery Ave, San Carlos, CA 94066",Adam’s Grub Truck’s Ultimate Adam Bomb Challenge,Where: Adam's Grub Truck,,
"Address: 1605A Douglas Blvd, Roseville, CA 95661",Parker’s 5lb Chili Cheese Dog Challenge,Where: Parker's Hot Dogs of Santa Cruz,,
"Address: 8680 Miralani Dr, Ste #122, San Diego, CA 92126",Deli Sushi’s Monster Sushi Challenge Roll,Where: Deli Sushi & Desserts,,
"Address: 5301 Power Inn Rd, Sacramento, CA 95820",The Squeeze Inn’s Burger Patty Record Challenge (Sacramento),Where: The Squeeze Inn (Power Inn Road),,
"Address: 50048 Hwy 62, Morongo Valley, CA 92256",Willie Boys’ Big Willie Burger Challenge,Where: Willie Boys Saloon & Dance Hall,,
"Address: 741 Plumas St, Yuba City, CA 95991",The Happy Viking’s Sadistic Wing Challenge,Where: The Happy Viking,,
"Address: 2700 Clovis Ave, Ste #109, Clovis, CA 93612",Grill Masters BBQ’s Burger Challenge,Where: Grill Masters BBQ,,
